སྨན་མིང་།	རང་བཞིན།	ཕན་ནུས།
ལི་དྲུག་ཁྱུང་བསྡེབས།	བསིལ་དྲོད་སྙོམས་པ། བཟི་ཅུང་ཡོད།	ལ་དྲུག་ཁྱུང་བསྡེབས་ལི་ཁྱུང་བཅུ་བ་འདིས། །གཉན་ཚད་གྲེ་བར་ཞུགས་པའི་གཉན་གག་དང་། །ལྕེ་རྩ་ཨོལ་གོང་སྐྲངས་ཤིང་ཐོར་འགེགས་སེལ། །
ལི་ཤི་དགུ་སྦྱོར།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད། 	སྣ་རུ་རྔུབ་པས་རྣ་བ་གཟེར་འཁྱུག་དང༌། །ཀླད་ནད་མིག་སེར་སྣ་འགགས་སྣ་ཆུ་འཛག །མིག་མི་གསལ་དང་གཉན་སྲིན་ཡ་མའི་རིགས། །མཐའ་དག་སེལ་བ་རྒྱ་ནག་ལུགས་ལས་སོ། །
ལི་ཤི་དགུ་བ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	སྐད་འགགས་ཚ་གཟེར་གློ་ཆམ་རྒན། །གྲེ་བའི་དུག་ཚད་གཉན་རོ་སེལ། །
ལི་ཤི་ཉེར་ལྔ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	སྲོག་རླུང་ལ་སོགས་ལྔ་གསུམ་བཅོ་ལྔའི་ནད། །གསོ་པ་འཇོམས་པ་རྡོ་རྗེ་ཕ་ལམ་འདྲ། །
ལི་ཁྲག	བསིལ་བ། བཟི་མེད།	ལི་ཁྲག་བད་ཚད་སྐད་འགགས་གྲེ་བ་འཛེར། །མིད་པ་སྐམ་ཚ་བད་ཁྲག་གློ་ལ་ཕན། །<172>
ལུག་མུར་བདུན་པ།	ཅུང་བསིལ། བཟི་མེད།	ལུག་མུར་བདུན་པའི་སྦྱོར་བ་འདིས། །ཆམ་པའི་གཞུག་གི་གློ་རྒྱལ་ལ། །སྨན་ཐུན་གསུམ་ལས་མང་མི་དགོས། །
ལུམས་རྒྱས་བདུད་རྩི་ཆུ་ཚན།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ལུམས་རྒྱས་བདུད་རྩི་ཆུ་ཚན་འདིས། །ཤ་རུས་རྩ་ལྤགས་རེངས་འཁུམས་འབྲས། །པགས་ནད་ཟ་འཕྲུག་ཁེ་མ་དང་། །གླང་ཤུ་དང་ནི་ངོ་ཁབ་དང་། །རྩ་ཚིགས་མགོ་སྐྱོན་ལ་སོགས་པ། །སྤྱི་གཙུག་རྐང་མཐིལ་བར་གྱི་ནད། །གཉན་ཁ་མེད་པའི་རིགས་རྣམས་ལ། །བདུད་རྩི་ཆུ་ཚན་མཆོག་གྱུར་འདི། །མཐོང་བ་བརྒྱུད་པའི་ཕྱག་ལེན་ལྟར། །མང་དུ་བྱས་པ་ཤིན་ཏུ་ཕན། །
ལོང་རླུང་སེ་འབྲུ་བཅུ་གསུམ།	དྲོ་བ། བཟི་མེད།	ཕོ་བ་དང་རྒྱུ་མ་སྦོས་འཁྲོག་བྱེད་པ་དང་། བཤལ་བ། ལོང་རླུང་ནད་བཅས་ལ་ཕན།
ཤ་རུ་ཉེར་ལྔ། (ག་དོར་ཉེར་ལྔ། བསེ་རུ་ཉེར་ལྔ།)	བསིལ་བ། བཟི་མེད།	གློ་ནད་རྙིངས་ཤིང་ཞེན་པ་དང་། གློ་ནད་བུང་ཚང་ཅན། གློ་གཅོང་སོགས་ཀྱིས་གློ་རྒྱག་པ་དང་། དབུགས་ཧལ་པ།
ཤིང་ཀུན་ཅུར་ནིས།	དྲོ་བ། བཟི་མེད།	ཤིང་ཀུན་ཅུར་ནིས་ལྟོ་སྦོས་ཡི་ག་འཆུས། །ཁ་ཟས་མི་འཇུ་གདོང་སྐྲངས་དབུགས་མི་བདེ། །སྟོད་བརྒྱངས་ལུད་པ་མཆིན་མཆེར་རྩིབ་ལོག་གཟེར། །མཁལ་རྐེད་རྐང་ལག་སྐྲངས་དང་དྲི་ཆུ་སྲི། །སྐྲུན་དང་སྐྱ་རྦབ་དམུ་རྫིང་སྐྱུག་པ་སེལ། །
ཤིང་ཀུན་གཉིས་ཐང་།	དྲོ་བ། བཟི་མེད།	མཚེར་བར་བད་རླུང་རྒྱས་ལ་ཕན།
ཤིང་ཀུན་བཞི་བ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	རླུང་ནད་ཀུན་དང་ཁྱད་པར་སྙིང་རླུང་སེལ། །གྲང་རླུང་ཕོ་བ་སྦོས་ལ་མཆོག་ཏུ་ཕན། །<174>
ཤིང་ཀུན་ལྔ་བ།	ཅུང་དྲོ་བ། བཟི་མེད།	སྙིང་ཀ་མཚེར་ནད་རྩིབ་ལོགས་གཟེར་བ་འཇོམས།
ཤིང་ཀུན་བརྒྱད་པ། (ལུག་ཀླད་རིལ་བུ།)	དྲོ་བ། བཟི་མེད།	འབྲི་མར་ནང་དུ་སེར་ཙམ་བཙོས་པ་འདི། །གར་ཆང་དབུལ་བ་རླུང་དུས་བསྟེན་ན་ཤིས། །བད་རླུང་ནད་ཀྱི་མགོ་འཁོར་སེལ་བ་ལ། །བཅོས་རྡུགས་ཕན་པ་ཟུར་མཁར་མཁས་པའི་ལུགས། །
ཤིང་ཀུན་ཉེར་ལྔ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཤིང་ཀུན་ཉེར་ལྔ་འདོན་བཞིའི་རྟར་སྐྱོན་གཏོང་། །ཤུ་ལྤགས་རྩ་རུས་ཞུགས་པ་ཕྱི་ཡི་རླུང་། །དོན་ལྔ་སྣོད་དྲུག་ལ་ཞུགས་ནང་གི་རླུང་། །སྲོག་འཛིན་ལ་སོགས་རྣམ་ལྔ་གསང་བའི་རླུང་། །སྟོད་སྨད་བར་གསུམ་ཞུགས་པའི་རླུང་ལ་སོགས། །རླུང་རིགས་སྨན་སྦྱོར་གཅིག་གིས་འཇོམས་སོ་ཞེས། །བོད་སྨན་མཁས་པ་གཡུ་ཐོག་མགོན་པོས་གསུངས། །
ཤིང་མངར་བཞི་ཐང་།	བསིལ་བ། བཟི་མེད།	ཤིང་མངར་བཞི་ཐང་བསྡུས་ཁུ་དྲོད་འཇལ་གྱིས། །འཕུལ་བས་རྩ་ཡི་ཚད་པ་སེལ་བར་བྱེད། །<175>
ཤིང་མངར་དྲུག་པ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཤིང་མངར་དྲུག་པ་སྐྱུག་པ་གཅོད་པའི་མཆོག
ཤིང་མངར་བཅུ་གཉིས།	བསིལ་བ། བཟི་མེད།	ཤིང་མངར་ཏིག་ཏ་སྤང་རྩི་བོང་ང་དཀར། །བསིལ་གསུམ་ག་དུར་འབྲས་གསུམ་ཧོང་ལེན་སྦྱར། །བསྐོལ་གྲང་ཕུལ་བས་བད་ཁྲག་མཁྲིས་ལྡན་གྱི། །གྲེ་བ་ཚ་སྐམ་སྐད་འཛེར་རྐན་མཚུལ་ཚ། །དྲོད་ཆེ་མིག་དམར་ཤེས་འཚུབ་མཁྲིས་རླུང་བུས། །ལ་སོགས་སྦྱོར་བ་འདི་ཡིས་སྲོག་སྟེར་བྱེད། །
ཤིང་ཚ་བཞི་སྦྱོར།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	སྐད་འགག་དབུགས་མི་བདེ་དང་ལུད་པ་དང༌། །བད་ཀན་ནད་དང་གཅོང་ཆེན་ཟད་བྱེད་འཇོམས། །
ཤུ་སླ།	ཅུང་བསིལ། བཟི་འབྲིང༌།	ཤུ་སླ་ཕག་ཚིལ་མར་རྙིང་གང་རུང་ལ། །སྦྱངས་ཏེ་ཤུ་བར་བྱུགས་ནས་ཉི་མར་བསྲོ། །ཆུ་སེར་ལས་གྱུར་ཤུ་བའི་ནད་ལ་བསྔགས། །<176>
ཤུ་དག་བཞི་བ།	དྲོ་བ། བཟི་མེད།	མ་ཞུ་སྐྱིགས་བུ་དབུགས་མི་བདེ་བ་དང་། །བད་རླུང་སྟོད་གཟེར་སྐྱ་རྦབ་གཞང་འབྲུམ་འཇོམས། །
ཤུ་དག་དྲུག་པ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	བད་རླུང་གི་དྲེག་ནད་སེལ།
བཤལ་སྨན་མི་མཐུན་ཀུན་འཇོམས།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཡན་ཆད་བཏང་ན་བད་ཀན་སྐྱ་སྨུག་དང་། །མ་ཞུ་ཁྲག་མཁྲིས་རིམས་འཁྲུགས་འབྲུམ་བུ་ནག །གག་འབྲས་ལྷོག་པ་ཤུ་བ་མེད་དབལ་དང་། །ཆུ་སེར་པགས་པའི་ནད་ཀུན་འཇོམས་པའོ། །<177>
ས་འཛིན་བདུན་པ།	བསིལ་བ། བཟི་མེད།	དྭངས་མ་འཛག་པ་སྡོམས་པ་དང༌། །ཡང་ན་གཅིན་སྙི་སོགས་ཀྱི་ནད་སེལ་བར་བྱེད། །
སུ་རའི་ཤེས་བརྩོན། (ཉ་ཕྱིར་བཅུ་གསུམ།)	བསིལ་བ། བཟི་ཅུང་ཡོད།	སཱ་རའི་ཤེས་བཙོན་ཞེས་སུ་གྲགས་པ་འདི། །སྨན་ནད་ཐོན་པ་ལན་འགའ་བསྟེན་པ་ཡིས། །ཕྱི་ནང་རྩ་དཀར་ནད་རིགས་ཀུན་ལ་བསྔགས། །གྲིབ་དང་མཛེ་ནད་བཅོས་བརྡུགས་གཉེན་པོ་མཆོག །
སཱ་རའི་ཁྱུང་ལྔ་འཛག་སྡོམ། (སཱར་ཁྱུང་།) (ཨ་རུ་བཅུ་བདུན།)	བསིལ་བ། བཟི་ཆེ།	སྭ་རའི་ཁྱུང་ལྔ་འཛག་སྡོམ་ཞེས་བྱ་འདི། །ཕལ་ཆེར་ཆུ་སྐོལ་གྲང་རླུང་མྱོས་ཁུས་དབུལ། །མཁལ་མའི་ཚ་གྲང་ནད་རིགས་ཡིན་ནོ་ཅོག །སྲིན་གླང་ལ་སོགས་གཉན་རིམས་ཀུན་ལ་བསྔགས། །ཁྱད་པར་ས་བོན་འཛག་པ་གཅོད་པ་སྟེ། །སྨན་ནད་ཐོན་པ་ལན་འགའ་བསྟེན་པ་ཡིས། །དྭངས་མ་འཛག་གཅོད་མིན་ཀྱང་ན་ཟུག་གཅོག །
སིབ་ཐང་།	བསིལ་བ། བཟི་མེད།<178>	སིབ་ཐང་གསུམ་གཉིས་གདུས་འཇམ་ཁོང་དུ་བཏང་། །མྱུར་དུ་སིབ་བི་འཇོམས་པ་ཐེ་ཚོམ་མེད། །
སུག་ཁྱུང་།	དྲོ་བ། བཟི་མེད།	སུག་སྨེལ་བཅུ་སྟེང་ཁྱུང་ལྔ་བསྣན། །ཕོ་ལོག་གཉན་སྲིན་མཛེ་ནད་དང་། །ཆུ་འགགས་རྡེའུ་ནད་ཐམས་ཅད་དང༌། །མཁལ་མའི་ནད་རྣམས་མ་ལུས་སེལ། །
སུག་སྨེལ་གསུམ་ཐང་།	དྲོ་བ། བཟི་མེད།	སུག་སྨེལ་གསུམ་ཐང་འོ་མར་གདུས་པ་ཡིས། །འཕུལ་བས་གཉིད་མེད་ཡེར་བ་འགུགས་པར་བྱེད། །
སུག་སྨེལ་བཅུ་བ།	དྲོ་བ། བཟི་མེད།	སུག་སྨེལ་བཅུ་བ་གཞུང་བཞིན་སྦྱར་བ་ཡིས། །མཁལ་མའི་གྲང་བ་རྡེའུ་ནད་ཆུ་འགགས་སེལ། །
སུག་སྨེལ་བཅུ་གཉིས།	ཅུང་བསིལ། བཟི་མེད།	མཁལ་མའི་རྩའི་ཚད་པ་རྣམས་སེལ་བར་བྱེད།<179>
སེ་འབྲུ་བཞི་བ།	དྲོད་ཆེ། བཟི་མེད།	བུར་དཀར་སྦྱར་བའི་སེ་འབྲུ་བཞི་བ་འདིས། །ཕོ་བའི་གཞི་འཛིན་མེ་དྲོད་གསོ་བར་བྱེད། །ནད་གཞི་ཅི་ལས་གྱུར་ཀྱང་དང་ག་འབྱེད། །
